,0,1,2,3
1.0,0.2619845303,0.0976918475,0.0927138961,0.2127198494
1.01,0.2651446435,0.09807847600000001,0.09208143170000001,0.215737851
1.02,0.2691622798,0.0986994139,0.091694756,0.2183992398
1.03,0.2734558307,0.0995108482,0.0916333611,0.2207402193
1.04,0.2773815705,0.100416953,0.0918858012,0.2228820681
1.05,0.2802608193,0.1013453752,0.09250400880000001,0.2248944425
1.06,0.2814918737,0.1022040744,0.09347606400000001,0.2268820557
1.07,0.28063082640000003,0.10291776050000001,0.0947792939,0.2289281337
1.08,0.2769064672,0.10337669890000001,0.09642000390000001,0.2311354794
1.09,0.2703340657,0.10354241510000001,0.09831584110000001,0.2335544578
1.1,0.2603590581,0.10331936970000001,0.10043939710000001,0.2362696907
1.11,0.24706693170000002,0.102679246,0.1027100437,0.2393115878
1.12,0.230600085,0.101608472,0.1050579159,0.24269522440000002
1.13,0.21089276110000002,0.100058087,0.1074047709,0.2464646846
1.14,0.1887075857,0.0981056649,0.1096781034,0.25056189160000003
1.15,0.1643104893,0.09575038520000001,0.1117939191,0.2549954192
1.16,0.1385445853,0.0930909617,0.11369356850000001,0.2597009971
1.17,0.1121461041,0.0902175266,0.11533208410000001,0.2646246908
1.18,0.0860437047,0.08724081460000001,0.1166406113,0.2697146849
1.19,0.061075587300000005,0.0842989885,0.11763764330000001,0.2748879584
1.2,0.038370000200000004,0.0815497723,0.1182810427,0.28008059550000003
1.21,0.0187447391,0.0791431735,0.11861346700000001,0.2852221548
1.22,0.0029922963000000003,0.07722173610000001,0.118667425,0.2902525603
1.23,0.0,0.06775829500000001,0.112726565,0.26903491020000003
1.24,0.0,0.0613420697,0.108195941,0.2548926301
1.25,0.0,0.0626918675,0.1083660085,0.2619270749
1.26,0.0,0.071679193,0.11322405440000001,0.289640446
1.27,0.0078441333,0.080133488,0.1169813779,0.3120070217
1.28,0.0278857217,0.0839034107,0.11685389530000001,0.3154543045
1.29,0.053663849300000004,0.088721328,0.116970682,0.31858281990000004
1.3,0.0854222127,0.094671959,0.1174309823,0.3213359742
1.31,0.1219379086,0.10155674790000001,0.11824790730000001,0.3237212231
1.32,0.1624896548,0.10926188070000001,0.11944422610000001,0.3257094917
1.33,0.2062019656,0.1176364889,0.1210329133,0.3272295602
1.34,0.2517080795,0.12640924820000002,0.12293614500000001,0.3282763946
1.35,0.2979555277,0.1353661137,0.12512082530000002,0.3287050587
1.36,0.34359526020000003,0.1442079489,0.12745545390000002,0.3284774596
1.37,0.38745750910000004,0.1526625788,0.12982280940000002,0.3274720962
1.38,0.4281170385,0.1603797502,0.1320517597,0.3255027573
1.39,0.4648815108,0.1671664075,0.1339952225,0.32253369330000004
1.4,0.49611664200000005,0.1725865497,0.1354076827,0.3182541715
1.41,0.5215530803,0.17652447500000001,0.1361457638,0.3126395931
1.42,0.5403880215,0.1787242832,0.13600611070000002,0.3054981563
1.43,0.5518619974,0.1789209455,0.1347512345,0.2966092341
1.44,0.5564923551000001,0.1771974625,0.1323441736,0.2860336844
1.45,0.5532784572,0.17320006470000002,0.12846948700000002,0.2734253877
1.46,0.5433438269,0.1671835276,0.1231971787,0.2589641453
1.47,0.5268052999999999,0.15911772300000002,0.1164177462,0.24257235740000002
1.48,0.504161187,0.1490776254,0.1080820762,0.22425290890000002
1.49,0.4767068786,0.137417594,0.09838197550000001,0.20429841840000001
1.5,0.4447648548,0.12416495300000001,0.08722782300000001,0.1826744733
1.51,0.4099362354,0.1098107525,0.07495900920000001,0.1598498495
1.52,0.3731122193,0.0946123958,0.061714236000000006,0.136074423
1.53,0.3354975881,0.07895321300000001,0.047757175000000006,0.1117663561
1.54,0.29816461380000003,0.0632167629,0.033417278,0.087383446
1.55,0.2623599795,0.047827523600000005,0.0190036676,0.0634872628
1.56,0.2288584288,0.0331175585,0.0048739041000000006,0.040560634000000005
1.57,0.1960351001,0.0207336534,0.0,0.024263516000000002
1.58,0.1662961043,0.0101467269,0.0,0.011814179000000001
1.59,0.1411227261,0.0009401986,0.0,0.001233743
1.6,0.1174400013,0.0,0.0,0.0093234869
1.61,0.0995243623,0.0,0.0,0.018146758500000002
1.62,0.088575365,0.0,0.0,0.025432051100000002
1.63,0.08446637580000001,0.0,0.0,0.0314725031
1.64,0.0863469953,0.0,0.0,0.0366880807
1.65,0.0945913827,0.0,0.0,0.0414431439
1.66,0.1075848621,0.0,0.0,0.0462835246
1.67,0.1249392503,0.0,0.0,0.0517022356
1.68,0.1456326551,0.0,0.0,0.058235698200000005
1.69,0.1685764643,0.0,0.0,0.0662162255
1.7,0.1902083162,0.0042007844,0.0,0.0867060446
1.71,0.2114422312,0.0095333087,0.0,0.1121731633
1.72,0.23147598360000002,0.014918724000000001,0.0038035123000000003,0.1409937064
1.73,0.2481030911,0.020919375400000002,0.016429081,0.1757770103
1.74,0.26359909130000003,0.0261046497,0.028950354900000003,0.2107847102
1.75,0.2775202584,0.0301075141,0.0409517941,0.2450514221
1.76,0.2899623447,0.0329413806,0.0521978539,0.27783942100000003
1.77,0.30077487480000004,0.0344138203,0.062351694400000005,0.3081923635
1.78,0.3101052628,0.0345529625,0.0712134704,0.3353480408
1.79,0.318202768,0.0334920853,0.0787179823,0.3588634156
1.8,0.3252106329,0.031239581800000003,0.0845948056,0.3775982795
1.81,0.3315890864,0.0281655289,0.0890565334,0.39176190320000004
1.82,0.3376316741,0.0244659375,0.0920254752,0.4005889566
1.83,0.3437415699,0.020517188500000002,0.09369604220000001,0.4041063682
1.84,0.35023191870000003,0.0166620999,0.09429745040000001,0.4025474572
1.85,0.35750672240000003,0.013358884900000001,0.0939768312,0.3954762518
1.86,0.3657072381,0.0109173737,0.0931256374,0.383908052
1.87,0.3751093774,0.0098180332,0.0919982142,0.36782154170000003
1.88,0.38575214300000005,0.0103807664,0.0909459808,0.3480253123
1.89,0.3975833455,0.0128307713,0.0902505965,0.3252549234
1.9,0.4106056306,0.0176643611,0.09028821590000001,0.3000359177
1.91,0.42446231630000003,0.0247493233,0.0912149922,0.27344294150000004
