# == pyFAI calibration ==
# Distance Sample to Detector: 0.10401047200818728 m
# PONI: 2.723e-01, 1.277e-01 m
# Rotations: -0.007054 -0.003206 0.000160 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 104.014 mm
# Center: x=746.682, y=1580.912 pix
# Tilt: 0.444 deg  TiltPlanRot: -24.440 deg
# 
# Detector Pilatus CdTe 2M	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 3.5410000000000004e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: 0.99
# Normalization factor: 1.0
# --> C:/Users/au714043/OneDrive - Aarhus Universitet/Desktop/pyfai_notebook/npy/scan-0921_avg.dat
#        q_A^-1             I 
  2.042250e+00    1.832757e+04
  2.052750e+00    2.943582e+04
  2.063250e+00    3.769786e+04
  2.073750e+00    5.006675e+04
  2.084250e+00    6.314740e+04
  2.094750e+00    7.511495e+04
  2.105250e+00    8.118531e+04
  2.115750e+00    8.648963e+04
  2.126250e+00    8.688544e+04
  2.136750e+00    9.036458e+04
  2.147250e+00    8.481378e+04
  2.157750e+00    8.703543e+04
  2.168250e+00    7.653022e+04
  2.178750e+00    7.207441e+04
  2.189250e+00    6.325572e+04
  2.199750e+00    5.274821e+04
  2.210250e+00    4.253261e+04
  2.220750e+00    3.075410e+04
  2.231250e+00    1.782504e+04
  2.241750e+00    1.147943e+04
  2.252250e+00    6.519791e+03
  2.262750e+00    4.459365e+03
  2.273250e+00    3.591290e+03
  2.283750e+00    3.283913e+03
  2.294250e+00    3.125703e+03
  2.304750e+00    3.041677e+03
  2.315250e+00    2.970953e+03
  2.325750e+00    2.947881e+03
  2.336250e+00    2.908499e+03
  2.346750e+00    2.891066e+03
  2.357250e+00    2.873888e+03
  2.367750e+00    2.851441e+03
  2.378250e+00    2.840976e+03
  2.388750e+00    2.840285e+03
  2.399250e+00    2.800494e+03
  2.409750e+00    2.812782e+03
  2.420250e+00    2.805656e+03
  2.430750e+00    2.798901e+03
  2.441250e+00    2.796923e+03
  2.451750e+00    2.817011e+03
  2.462250e+00    2.847722e+03
  2.472750e+00    2.935010e+03
  2.483250e+00    3.089276e+03
  2.493750e+00    3.541744e+03
  2.504250e+00    4.802750e+03
  2.514750e+00    6.567274e+03
  2.525250e+00    9.591211e+03
  2.535750e+00    1.479466e+04
  2.546250e+00    2.120549e+04
  2.556750e+00    2.429780e+04
  2.567250e+00    2.896660e+04
  2.577750e+00    3.546111e+04
