# == pyFAI calibration ==
# Distance Sample to Detector: 0.10401047200818728 m
# PONI: 2.723e-01, 1.277e-01 m
# Rotations: -0.007054 -0.003206 0.000160 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 104.014 mm
# Center: x=746.682, y=1580.912 pix
# Tilt: 0.444 deg  TiltPlanRot: -24.440 deg
# 
# Detector Pilatus CdTe 2M	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 3.5410000000000004e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: 0.99
# Normalization factor: 1.0
# --> C:/Users/au714043/OneDrive - Aarhus Universitet/Desktop/pyfai_notebook/npy/scan-0921_avg.dat
#        q_A^-1             I 
  2.105250e+00    8.293852e+04
  2.115750e+00    8.837773e+04
  2.126250e+00    8.880952e+04
  2.136750e+00    9.237688e+04
  2.147250e+00    8.670749e+04
  2.157750e+00    8.902678e+04
  2.168250e+00    7.827396e+04
  2.178750e+00    7.374597e+04
  2.189250e+00    6.473360e+04
  2.199750e+00    5.399105e+04
  2.210250e+00    4.354396e+04
  2.220750e+00    3.149322e+04
  2.231250e+00    1.825562e+04
  2.241750e+00    1.176161e+04
  2.252250e+00    6.681038e+03
  2.262750e+00    4.569945e+03
  2.273250e+00    3.682350e+03
  2.283750e+00    3.367052e+03
  2.294250e+00    3.206100e+03
  2.304750e+00    3.120291e+03
  2.315250e+00    3.048571e+03
  2.325750e+00    3.025289e+03
  2.336250e+00    2.986342e+03
  2.346750e+00    2.968122e+03
  2.357250e+00    2.952200e+03
  2.367750e+00    2.929011e+03
  2.378250e+00    2.919518e+03
  2.388750e+00    2.919192e+03
  2.399250e+00    2.879239e+03
  2.409750e+00    2.892240e+03
  2.420250e+00    2.886178e+03
  2.430750e+00    2.879151e+03
  2.441250e+00    2.878307e+03
  2.451750e+00    2.899547e+03
  2.462250e+00    2.931954e+03
  2.472750e+00    3.022751e+03
  2.483250e+00    3.182374e+03
  2.493750e+00    3.648832e+03
  2.504250e+00    4.950253e+03
  2.514750e+00    6.769385e+03
  2.525250e+00    9.889333e+03
  2.535750e+00    1.526269e+04
  2.546250e+00    2.187461e+04
  2.556750e+00    2.507380e+04
  2.567250e+00    2.989477e+04
  2.577750e+00    3.661333e+04
  2.588250e+00    3.811880e+04
  2.598750e+00    4.053223e+04
  2.609250e+00    4.252270e+04
  2.619750e+00    4.360536e+04
  2.630250e+00    4.149546e+04
  2.640750e+00    4.218110e+04
  2.651250e+00    3.826954e+04
  2.661750e+00    3.410603e+04
  2.672250e+00    3.013544e+04
  2.682750e+00    2.464378e+04
  2.693250e+00    1.990197e+04
  2.703750e+00    1.513506e+04
  2.714250e+00    9.182735e+03
  2.724750e+00    5.759696e+03
  2.735250e+00    4.200570e+03
  2.745750e+00    3.267065e+03
  2.756250e+00    2.968384e+03
  2.766750e+00    2.856675e+03
  2.777250e+00    2.802149e+03
  2.787750e+00    2.766185e+03
  2.798250e+00    2.751561e+03
  2.808750e+00    2.735470e+03
  2.819250e+00    2.740448e+03
  2.829750e+00    2.734182e+03
  2.840250e+00    2.739138e+03
  2.850750e+00    2.747592e+03
  2.861250e+00    2.751563e+03
  2.871750e+00    2.787684e+03
  2.882250e+00    2.906430e+03
  2.892750e+00    2.977260e+03
  2.903250e+00    3.529911e+03
  2.913750e+00    4.484500e+03
  2.924250e+00    6.313038e+03
  2.934750e+00    8.295943e+03
  2.945250e+00    1.020427e+04
  2.955750e+00    1.382961e+04
  2.966250e+00    1.767538e+04
  2.976750e+00    1.727830e+04
  2.987250e+00    1.957860e+04
  2.997750e+00    2.133663e+04
  3.008250e+00    2.267731e+04
  3.018750e+00    2.449654e+04
  3.029250e+00    2.675272e+04
  3.039750e+00    2.357686e+04
  3.050250e+00    2.171496e+04
  3.060750e+00    2.124180e+04
  3.071250e+00    1.856649e+04
  3.081750e+00    1.581400e+04
  3.092250e+00    1.325235e+04
  3.102750e+00    1.056003e+04
  3.113250e+00    8.350847e+03
  3.123750e+00    5.491957e+03
  3.134250e+00    4.476970e+03
  3.144750e+00    3.372961e+03
  3.155250e+00    3.029486e+03
  3.165750e+00    2.866742e+03
  3.176250e+00    2.816961e+03
  3.186750e+00    2.794854e+03
  3.197250e+00    2.797080e+03
  3.207750e+00    2.798398e+03
  3.218250e+00    2.822813e+03
  3.228750e+00    2.885524e+03
  3.239250e+00    3.040537e+03
  3.249750e+00    3.465661e+03
  3.260250e+00    4.658211e+03
  3.270750e+00    6.588657e+03
  3.281250e+00    1.039033e+04
  3.291750e+00    1.485796e+04
  3.302250e+00    2.159591e+04
  3.312750e+00    2.685332e+04
  3.323250e+00    3.374768e+04
  3.333750e+00    3.780282e+04
  3.344250e+00    4.169861e+04
  3.354750e+00    4.550454e+04
  3.365250e+00    4.750001e+04
  3.375750e+00    4.856386e+04
  3.386250e+00    4.709848e+04
  3.396750e+00    4.766286e+04
  3.407250e+00    4.386234e+04
  3.417750e+00    4.180249e+04
  3.428250e+00    3.772278e+04
  3.438750e+00    3.175349e+04
  3.449250e+00    2.653495e+04
  3.459750e+00    2.012339e+04
