File_name   Scan_number     r_wp  scale_total scale_LFP    lp1_a       lp1_b       lp1_c       rbragg_1     wp_1     lp2_a        lp2_b        lp2_c        rbragg_2     wp_2
scan-0116_TT_00035.xy  00035      6.24051 0.000000000740     0.88124    10.30350     5.98897     4.70566     3.81797    89.43524     9.80395     5.67497     4.78534     4.32890    10.56476
scan-0116_TT_00036.xy  00036      5.34393 0.000000000623     1.50293    10.35990     5.96264     4.72996     2.83618   143.18868     9.85383     5.81242     4.80974   100.00000   -43.18868
scan-0116_TT_00037.xy  00037      5.39207 0.000000000534     1.57393    10.45077     5.95030     4.72896     2.97560   148.16382     9.75996     5.92973     4.73824   100.00000   -48.16382
scan-0116_TT_00038.xy  00038      5.08693 0.000000000180     2.34004    10.29939     6.04700     4.72853     2.81973   209.57985     9.85965     5.92135     4.81753   100.00000  -109.57985
scan-0116_TT_00039.xy  00039      5.56247 0.000000000732     0.82596    10.34209     5.99036     4.73519     3.19576    84.28358     9.96271     5.84572     4.66274     4.20420    15.71642
scan-0116_TT_00040.xy  00040      5.98913 0.000000000822     0.95976    10.34340     6.01782     4.73013     3.36377    96.41222     9.87618     5.84561     4.73498     4.11188     3.58778
scan-0116_TT_00041.xy  00041      5.54794 0.000000000927     0.72073    10.32392     5.98040     4.73806     3.07988    75.23532     9.70111     5.65645     4.73706     3.59744    24.76468
scan-0116_TT_00042.xy  00042      6.23709 0.000000000880     0.83700    10.32191     6.00399     4.71959     3.33403    85.21960     9.91418     5.84826     4.69956     4.38961    14.78040
scan-0116_TT_00043.xy  00043      5.16943 0.000000001159     0.91634    10.42397     5.94730     4.75439     2.64165    92.49766     9.86037     5.81952     4.77324     4.30303     7.50234
scan-0116_TT_00044.xy  00044      6.14706 0.000000000880     0.73282    10.30728     5.98717     4.70979     3.78698    75.28185     9.87828     5.83958     4.74647     4.56502    24.71815
scan-0116_TT_00045.xy  00045      5.46554 0.000000001240     0.76981    10.37504     5.99742     4.68120     3.05256    78.83787     9.85557     5.80573     4.77995     3.81947    21.16213
scan-0116_TT_00046.xy  00046      5.43550 0.000000003145     0.42214    10.32904     6.00700     4.70045     3.31038    44.87065     9.84991     5.80618     4.78782     3.41519    55.12935
scan-0116_TT_00047.xy  00047      5.03517 0.000000011537     0.32612    10.33274     6.00896     4.69800     2.24196    35.04070     9.84559     5.80574     4.78881     2.41194    64.95930
scan-0116_TT_00048.xy  00048      5.08894 0.000000019878     0.29190    10.33234     6.00897     4.69807     2.09734    31.48674     9.84489     5.80553     4.78842     2.40686    68.51326
scan-0116_TT_00049.xy  00049      4.90977 0.000000021386     0.26871    10.33182     6.00933     4.69801     1.84134    29.06020     9.84505     5.80549     4.78829     2.39281    70.93980
scan-0116_TT_00050.xy  00050      4.94232 0.000000022701     0.23812    10.33130     6.00954     4.69817     2.09179    25.84083     9.84500     5.80544     4.78830     2.37564    74.15917
scan-0116_TT_00051.xy  00051      5.59811 0.000000028485     0.20500    10.33129     6.00940     4.69793     2.51759    22.32915     9.84441     5.80544     4.78827     2.79219    77.67085
scan-0116_TT_00052.xy  00052      5.59168 0.000000033024     0.16007    10.33071     6.00938     4.69827     2.69320    17.52478     9.84449     5.80514     4.78833     2.99607    82.47522
scan-0116_TT_00053.xy  00053      5.21969 0.000000035120     0.12368    10.33138     6.00836     4.69797     2.26779    13.59415     9.84424     5.80518     4.78830     2.79932    86.40585
scan-0116_TT_00054.xy  00054      5.48472 0.000000039032     0.07608    10.33056     6.00818     4.69751     1.84752     8.40624     9.84414     5.80513     4.78820     2.73928    91.59376
scan-0116_TT_00055.xy  00055      5.67159 0.000000042630     0.05197    10.33372     6.00749     4.69717     2.67469     5.75914     9.84384     5.80509     4.78821     2.66763    94.24086
scan-0116_TT_00056.xy  00056      5.63092 0.000000044502     0.04498    10.33291     6.00881     4.69652     3.34226     4.98873     9.84383     5.80505     4.78810     2.78242    95.01127
scan-0116_TT_00057.xy  00057      5.77668 0.000000045721     0.04837    10.33001     6.00921     4.69594     3.64542     5.36081     9.84377     5.80498     4.78812     2.75527    94.63919
